"INSEE_COM","Fibre_it","annee"
"01068",0,2023
"01068",1,2024
"01069",1,2018
"01069",1,2019
"01069",1,2020
"01069",1,2021
"01069",1,2022
"01069",1,2023
"01069",1,2024
"01071",1,2018
"01071",1,2019
"01071",1,2020
"01071",1,2021
"01071",1,2022
"01071",1,2023
"01071",1,2024
"01072",0,2018
"01072",0,2019
"01072",0,2020
"01072",0,2021
"01072",0,2022
"01072",0,2023
"01072",0,2024
"01073",0,2018
"01073",0,2019
"01073",0,2020
"01073",0,2021
"01073",0,2022
"01073",1,2023
"01073",1,2024
"01074",0,2018
"01074",0,2019
"01074",0,2020
"01074",0,2021
"01074",0,2022
"01074",1,2023
"01074",1,2024
"01075",1,2018
"01075",1,2019
"01075",1,2020
"01075",1,2021
"01075",1,2022
"01075",1,2023
"01075",1,2024
"01076",0,2018
"01076",0,2019
"01076",0,2020
"01076",0,2021
"01076",0,2022
"01076",1,2023
"01076",1,2024
"01077",0,2018
"01077",0,2019
"01077",0,2020
"01077",0,2021
"01077",0,2022
"01077",1,2023
"01077",1,2024
"01078",1,2018
"01078",1,2019
"01078",1,2020
"01078",1,2021
"01078",1,2022
"01078",1,2023
"01078",1,2024
"01079",0,2018
"01079",0,2019
"01079",0,2020
"01079",0,2021
"01079",0,2022
"01079",0,2023
"01079",1,2024
"01080",1,2018
"01080",1,2019
"01080",1,2020
"01080",1,2021
"01080",1,2022
"01080",1,2023
"01080",1,2024
"01081",1,2018
"01081",1,2019
"01081",1,2020
"01081",1,2021
"01081",1,2022
"01081",1,2023
"01081",1,2024
"01082",1,2018
"01082",1,2019
"01082",1,2020
"01082",1,2021
"01082",1,2022
"01082",1,2023
"01082",1,2024
"01083",1,2018
"01083",1,2019
"01083",1,2020
"01083",1,2021
"01083",1,2022
"01083",1,2023
"01083",1,2024
"01084",0,2018
"01084",0,2019
"01084",0,2020
"01084",0,2021
"01084",0,2022
"01084",1,2023
"01084",1,2024
"01085",0,2018
"01085",0,2019
"01085",0,2020
"01085",0,2021
"01085",0,2022
"01085",0,2023
"01085",0,2024
"01087",0,2018
"01087",0,2019
"01087",0,2020
"01087",0,2021
"01087",0,2022
"01087",1,2023
"01087",1,2024
"01088",1,2018
"01088",1,2019
"01088",1,2020
"01088",1,2021
"01088",1,2022
"01088",1,2023
"01088",1,2024
"01089",0,2018
"01089",0,2019
"01089",0,2020
"01089",0,2021
"01089",0,2022
"01089",0,2023
"01089",0,2024
"01090",0,2018
"01090",0,2019
"01090",0,2020
"01090",0,2021
"01090",0,2022
"01090",0,2023
"01090",0,2024
"01091",1,2018
"01091",1,2019
"01091",1,2020
"01092",0,2018
"01092",0,2019
"01092",0,2020
"01092",0,2021
"01092",0,2022
"01092",1,2023
"01092",1,2024
"01093",0,2018
"01093",0,2019
"01093",0,2020
