INSEE_COM,LIBGEO,DENS,LIBDENS,PMUN21,P1,P2,P3,P4,P5,P6,P7,zone_type
38420,Saint-Martin-de-Vaulserre,6,Rural à habitat dispersé,244,0.0,0.0,0.0,0.0,0.0,75.6,24.4,Rural
38421,Saint-Martin-d'Hères,1,Grands centres urbains,38454,99.76,0.0,0.0,0.08,0.0,0.16,0.0,Inconnu
38422,Saint-Martin-d'Uriage,3,Petites villes,5483,0.0,0.0,69.37,0.0,0.0,28.67,1.96,Mixte
38423,Saint-Martin-le-Vinoux,1,Grands centres urbains,5825,92.09,0.0,0.0,0.0,0.0,7.04,0.87,Inconnu
38424,Saint-Maurice-en-Trièves,6,Rural à habitat dispersé,180,0.0,0.0,0.0,0.0,0.0,65.23,34.77,Rural
38425,Saint-Maurice-l'Exil,4,Ceintures urbaines,6555,0.0,0.0,0.0,94.33,0.0,3.66,2.01,Urbain
38426,Saint-Maximin,6,Rural à habitat dispersé,655,0.0,0.0,1.06,0.0,0.0,97.12,1.82,Rural
38427,Saint-Michel-de-Saint-Geoirs,6,Rural à habitat dispersé,293,0.0,0.0,0.0,0.0,0.0,52.5,47.5,Rural
38428,Saint-Michel-en-Beaumont,7,Rural à habitat très dispersé,31,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Rural
38429,Saint-Michel-les-Portes,7,Rural à habitat très dispersé,286,0.0,0.0,0.0,0.0,0.0,46.95,53.05,Rural
38430,Saint-Mury-Monteymond,6,Rural à habitat dispersé,327,0.0,0.0,0.0,0.0,0.0,85.07,14.93,Rural
38431,Saint-Nazaire-les-Eymes,4,Ceintures urbaines,2995,0.0,0.0,0.0,96.24,0.0,3.76,0.0,Urbain
38432,Saint-Nicolas-de-Macherin,6,Rural à habitat dispersé,955,0.0,0.0,0.0,0.0,0.0,88.05,11.95,Rural
38433,Saint-Nizier-du-Moucherotte,6,Rural à habitat dispersé,1103,0.0,0.0,0.0,0.0,0.0,88.42,11.58,Rural
38434,Saint-Ondras,6,Rural à habitat dispersé,655,0.0,0.0,0.0,0.0,0.0,98.15,1.85,Rural
38436,Saint-Paul-de-Varces,3,Petites villes,2224,0.0,0.0,76.69,0.0,0.0,21.75,1.56,Mixte
38437,Saint-Paul-d'Izeaux,6,Rural à habitat dispersé,299,0.0,0.0,0.0,0.0,0.0,67.21,32.79,Rural
38438,Saint-Paul-lès-Monestier,6,Rural à habitat dispersé,279,0.0,0.0,0.0,0.0,0.0,74.81,25.19,Rural
38439,Crêts en Belledonne,3,Petites villes,3389,0.0,0.0,65.88,0.0,0.32,26.21,7.6,Mixte
38440,Saint-Pierre-de-Bressieux,6,Rural à habitat dispersé,770,0.0,0.0,0.0,0.0,0.0,84.85,15.15,Rural
38442,Saint-Pierre-de-Chartreuse,6,Rural à habitat dispersé,939,0.0,0.0,0.0,0.0,0.0,82.19,17.81,Rural
38443,Saint-Pierre-de-Chérennes,6,Rural à habitat dispersé,466,0.0,0.0,0.0,0.0,0.0,92.86,7.14,Rural
38444,Saint-Pierre-de-Méaroz,6,Rural à habitat dispersé,109,0.0,0.0,0.0,0.0,0.0,73.18,26.82,Rural
38445,Saint-Pierre-de-Mésage,4,Ceintures urbaines,791,0.0,0.0,0.0,97.34,0.0,0.0,2.66,Urbain
38446,Saint-Pierre-d'Entremont,6,Rural à habitat dispersé,570,0.0,0.0,0.0,0.0,0.0,72.89,27.11,Rural
38448,Saint-Prim,4,Ceintures urbaines,1406,0.0,0.0,0.0,73.46,0.0,25.66,0.88,Urbain
38449,Saint-Quentin-Fallavier,4,Ceintures urbaines,6129,0.0,14.15,0.0,78.86,0.0,1.53,5.45,Urbain
38450,Saint-Quentin-sur-Isère,5,Bourgs ruraux,1477,0.0,0.0,0.0,0.0,70.88,14.75,14.37,Rural
38451,Saint-Romain-de-Jalionas,4,Ceintures urbaines,3393,0.0,0.0,0.0,81.41,0.0,17.07,1.52,Urbain
38452,Saint-Romain-de-Surieu,6,Rural à habitat dispersé,433,0.0,0.0,0.0,0.0,0.0,82.58,17.42,Rural
38453,Saint-Romans,5,Bourgs ruraux,1801,0.0,0.0,0.0,0.0,47.08,43.98,8.93,Rural
38454,Saint-Sauveur,3,Petites villes,2115,0.0,0.0,79.06,0.0,0.0,19.01,1.93,Mixte
38455,Saint-Savin,5,Bourgs ruraux,4264,0.0,0.0,0.0,0.15,51.17,45.12,3.55,Rural
38456,Châtel-en-Trièves,7,Rural à habitat très dispersé,491,0.0,0.0,0.0,0.0,0.0,38.98,61.02,Rural
38457,Saint-Siméon-de-Bressieux,5,Bourgs ruraux,3029,0.0,0.0,0.0,0.0,61.74,32.46,5.8,Rural
38458,Saint-Sorlin-de-Morestel,6,Rural à habitat dispersé,603,0.0,0.0,0.0,0.0,18.52,81.48,0.0,Rural
38459,Saint-Sorlin-de-Vienne,6,Rural à habitat dispersé,954,0.0,0.0,0.0,0.0,0.0,91.84,8.16,Rural
38460,Saint-Sulpice-des-Rivoires,6,Rural à habitat dispersé,429,0.0,0.0,0.0,0.0,0.0,72.0,28.0,Rural
38462,Saint-Théoffrey,6,Rural à habitat dispersé,586,0.0,0.0,0.0,0.0,0.0,96.85,3.15,Rural
38463,Saint-Vérand,3,Petites villes,1738,0.0,0.0,50.01,0.0,0.0,37.86,12.13,Mixte
38464,Saint-Victor-de-Cessieu,5,Bourgs ruraux,2197,0.0,0.0,0.0,0.0,54.56,42.58,2.86,Rural
38465,Saint-Victor-de-Morestel,6,Rural à habitat dispersé,1116,0.0,0.0,0.0,0.0,0.0,95.51,4.49,Rural
38466,Saint-Vincent-de-Mercuze,5,Bourgs ruraux,1508,0.0,0.0,0.0,0.0,92.59,7.41,0.0,Rural
38467,Salagnon,6,Rural à habitat dispersé,1459,0.0,0.0,0.0,0.0,0.0,98.89,1.11,Rural
