INSEE_COM,annee,nb_chomeurs
40256,2018,65
40257,2018,155
40260,2018,35
40262,2018,25
40271,2018,65
40276,2018,30
40277,2018,55
40285,2018,55
40286,2018,80
40288,2018,80
40300,2018,75
40304,2018,355
40308,2018,60
40309,2018,85
40313,2018,315
40317,2018,285
40322,2018,20
40323,2018,15
40325,2018,25
40334,2018,15
41001,2018,10
41002,2018,55
41003,2018,40
41004,2018,15
41008,2018,55
41009,2018,30
41014,2018,10
41018,2018,5545
41022,2018,10
41026,2018,10
41027,2018,10
41029,2018,105
41030,2018,15
41032,2018,135
41035,2018,40
41041,2018,5
41043,2018,140
41044,2018,90
41045,2018,80
41049,2018,50
41052,2018,70
41053,2018,35
41055,2018,160
41065,2018,35
41068,2018,40
41069,2018,15
41074,2018,95
41075,2018,60
41077,2018,10
41078,2018,45
41080,2018,105
41086,2018,45
41088,2018,15
41089,2018,15
41091,2018,80
41094,2018,80
41098,2018,10
41101,2018,80
41104,2018,125
41110,2018,75
41113,2018,10
41116,2018,15
41120,2018,90
41129,2018,50
41131,2018,65
41134,2018,35
41146,2018,85
41149,2018,235
41151,2018,350
41153,2018,15
41154,2018,50
41156,2018,35
41157,2018,110
41161,2018,205
41164,2018,205
41166,2018,25
41167,2018,320
41174,2018,5
41175,2018,65
41176,2018,45
41178,2018,5
41179,2018,15
41180,2018,115
41181,2018,45
41182,2018,30
41186,2018,15
41188,2018,5
41192,2018,30
41193,2018,10
41199,2018,80
41204,2018,110
41205,2018,10
41206,2018,40
41219,2018,25
41222,2018,35
41225,2018,45
41226,2018,200
41230,2018,105
41234,2018,25
41238,2018,155
41241,2018,85
41245,2018,35
41246,2018,30
41249,2018,55
41255,2018,25
41259,2018,70
41268,2018,15
41269,2018,1675
41271,2018,50
41273,2018,30
41274,2018,10
41275,2018,90
41276,2018,190
41281,2018,25
41284,2018,0
41290,2018,15
42007,2018,10
42008,2018,5
42011,2018,195
42014,2018,25
42017,2018,35
42021,2018,85
42022,2018,295
42026,2018,115
42029,2018,80
42037,2018,30
42043,2018,75
42044,2018,1395
42050,2018,5
42054,2018,15
42059,2018,365
42060,2018,25
42064,2018,45
42065,2018,85
42070,2018,70
42075,2018,75
42079,2018,45
42086,2018,20
42088,2018,40
42091,2018,55
42093,2018,50
42095,2018,1850
42096,2018,30
42101,2018,10
42106,2018,20
42107,2018,30
42112,2018,35
42113,2018,20
42117,2018,10
42118,2018,35
42120,2018,105
42121,2018,10
42124,2018,15
42125,2018,5
42127,2018,640
42128,2018,35
42133,2018,30
42134,2018,95
42135,2018,15
42136,2018,55
42140,2018,40
42143,2018,25
42145,2018,70
42149,2018,360
42151,2018,20
42155,2018,55
42163,2018,75
42164,2018,10
42169,2018,100
42172,2018,55
42173,2018,20
42175,2018,75
42176,2018,130
42181,2018,130
42182,2018,215
42187,2018,4000
42193,2018,85
42195,2018,80
42199,2018,120
42200,2018,85
42202,2018,35
42207,2018,3545
42208,2018,75
42209,2018,20
42210,2018,15
42216,2018,35
42217,2018,20
42218,2018,19720
42219,2018,65
42222,2018,345
42229,2018,20
42230,2018,105
42233,2018,55
42234,2018,175
42236,2018,35
42242,2018,120
42245,2018,65
42246,2018,110
42251,2018,25
42252,2018,20
42262,2018,120
42269,2018,10
42271,2018,350
42275,2018,450
42277,2018,20
42280,2018,20
42281,2018,20
42284,2018,60
42289,2018,110
42301,2018,60
42304,2018,540
42308,2018,60
42310,2018,15
42320,2018,35
42325,2018,20
42337,2018,15
42338,2018,105
42339,2018,5
43001,2018,20
43005,2018,10
43006,2018,5
43008,2018,5
43009,2018,0
43012,2018,440
43013,2018,20
43014,2018,5
43015,2018,5
43016,2018,90
43023,2018,15
43027,2018,5
43029,2018,0
43044,2018,15
43045,2018,35
43064,2018,5
43068,2018,5
43072,2018,20
43073,2018,15
43074,2018,60
43078,2018,195
43080,2018,130
43084,2018,120
43091,2018,35
43092,2018,15
43096,2018,80
43100,2018,15
43101,2018,5
43103,2018,10
43104,2018,5
43107,2018,5
43112,2018,290
43113,2018,130
43116,2018,5
43117,2018,15
43118,2018,20
43124,2018,70
43125,2018,5
43127,2018,50
43129,2018,5
43132,2018,90
43133,2018,5
43135,2018,90
43137,2018,660
43143,2018,10
43148,2018,70
43149,2018,5
43150,2018,35
43152,2018,160
43163,2018,65
43164,2018,35
43167,2018,10
43170,2018,35
43171,2018,5
43172,2018,20
43174,2018,60
43180,2018,5
43182,2018,0
43189,2018,20
43190,2018,225
43192,2018,10
43194,2018,60
43196,2018,15
43203,2018,30
43204,2018,10
43210,2018,10
43211,2018,185
43212,2018,55
43213,2018,165
43216,2018,160
43219,2018,10
43224,2018,505
43225,2018,5
43226,2018,10
43227,2018,50
43231,2018,5
43233,2018,50
43237,2018,20
43245,2018,10
43246,2018,40
43247,2018,5
43256,2018,10
43257,2018,50
43259,2018,20
43268,2018,535
44010,2018,265
44012,2018,275
44013,2018,260
44014,2018,240
44016,2018,65
44029,2018,490
44031,2018,50
44036,2018,1015
44037,2018,220
44041,2018,405
44050,2018,195
44051,2018,240
44054,2018,205
44058,2018,50
44061,2018,260
44064,2018,300
44065,2018,45
44071,2018,345
44074,2018,330
44080,2018,55
44086,2018,100
44099,2018,140
44103,2018,645
44105,2018,30
44108,2018,210
44110,2018,615
44111,2018,175
44114,2018,1975
44119,2018,185
44132,2018,915
44133,2018,225
44135,2018,395
44138,2018,75
44142,2018,140
44143,2018,4300
44145,2018,215
44146,2018,150
44149,2018,255
44150,2018,265
44155,2018,245
44158,2018,445
44161,2018,310
44166,2018,480
44168,2018,345
44169,2018,515
44170,2018,65
44171,2018,135
44172,2018,1190
44175,2018,310
44179,2018,285
44184,2018,7750
44186,2018,460
44187,2018,380
44188,2018,655
44193,2018,135
44194,2018,515
44195,2018,585
44197,2018,150
44198,2018,555
44202,2018,130
44203,2018,110
44205,2018,150
44208,2018,70
44209,2018,580
44210,2018,820
44220,2018,120
44222,2018,80
45002,2018,35
45013,2018,20
45015,2018,45
45018,2018,85
45019,2018,35
45020,2018,65
45025,2018,115
45028,2018,745
45032,2018,30
45034,2018,140
45035,2018,120
45037,2018,40
45042,2018,155
45047,2018,40
45049,2018,65
45050,2018,120
45051,2018,100
45052,2018,10
45053,2018,530
45054,2018,50
45055,2018,20
45056,2018,20
45060,2018,80
45064,2018,40
45065,2018,15
45068,2018,1885
45072,2018,90
45074,2018,5
45076,2018,5
45078,2018,25
45079,2018,10
45080,2018,15
45083,2018,220
45086,2018,10
45098,2018,165
45107,2018,20
45108,2018,210
45110,2018,30
45111,2018,30
45112,2018,20
45116,2018,65
45119,2018,175
45120,2018,15
45125,2018,5
45126,2018,130
45127,2018,245
45129,2018,120
45131,2018,30
45132,2018,25
45139,2018,30
45141,2018,15
45145,2018,280
45149,2018,35
45151,2018,25
45152,2018,10
45154,2018,85
45156,2018,40
45158,2018,20
45162,2018,35
45164,2018,55
45167,2018,90
45170,2018,15
45176,2018,50
