"INSEE_COM","annee","nb_chomeurs"
"01284",2016,45
"01284",2017,45
"01285",2016,55
"01285",2017,65
"01286",2016,55
"01286",2017,55
"01288",2016,125
"01288",2017,135
"01289",2016,420
"01289",2017,400
"01290",2016,60
"01290",2017,70
"01291",2016,35
"01291",2017,30
"01293",2016,5
"01293",2017,5
"01294",2016,60
"01294",2017,55
"01295",2016,45
"01295",2017,45
"01296",2016,20
"01296",2017,15
"01297",2016,40
"01297",2017,40
"01298",2016,5
"01298",2017,5
"01299",2016,25
"01299",2017,30
"01301",2016,125
"01301",2017,125
"01302",2016,5
"01302",2017,5
"01303",2016,120
"01303",2017,120
"01304",2016,240
"01304",2017,260
"01305",2016,185
"01305",2017,190
"01306",2016,150
"01306",2017,130
"01307",2016,50
"01307",2017,65
"01308",2016,30
"01308",2017,25
"01309",2016,10
"01309",2017,5
"01310",2016,15
"01310",2017,15
"01311",2016,0
"01311",2017,5
"01313",2016,435
"01313",2017,445
"01314",2016,110
"01314",2017,125
"01317",2016,15
"01317",2017,20
"01318",2016,25
"01318",2017,30
"01319",2016,20
"01319",2017,25
"01320",2016,200
"01320",2017,200
"01321",2016,35
"01321",2017,35
"01322",2016,240
"01322",2017,220
"01323",2016,55
"01323",2017,65
"01325",2016,50
"01325",2017,60
"01328",2016,30
"01328",2017,25
"01329",2016,20
"01329",2017,15
"01331",2016,10
"01331",2017,15
"01332",2016,40
"01332",2017,50
"01333",2016,145
"01333",2017,165
"01334",2016,25
"01334",2017,35
"01335",2016,20
"01335",2017,15
"01336",2016,55
"01336",2017,65
"01337",2016,80
"01337",2017,80
"01338",2016,75
"01338",2017,90
"01339",2016,65
"01339",2017,70
"01342",2016,30
"01342",2017,20
"01343",2016,120
"01343",2017,105
"01344",2016,315
"01344",2017,325
"01345",2016,160
"01345",2017,160
"01346",2016,40
"01346",2017,45
"01347",2016,95
"01347",2017,100
"01348",2016,165
"01348",2017,180
"01349",2016,10
"01349",2017,10
"01350",2016,125
"01350",2017,155
"01351",2016,75
"01351",2017,85
"01352",2016,35
"01352",2017,30
"01353",2016,90
"01353",2017,90
"01354",2016,735
"01354",2017,760
"01355",2016,25
"01355",2017,25
"01356",2016,15
"01356",2017,10
"01357",2016,50
"01357",2017,50
"01358",2016,40
"01358",2017,30
"01359",2016,10
"01359",2017,10
"01360",2016,80
"01360",2017,70
"01361",2016,70
"01361",2017,55
"01362",2016,30
"01362",2017,40
"01363",2016,115
"01363",2017,120
"01364",2016,50
"01364",2017,60
"01365",2016,55
"01365",2017,65
"01366",2016,55
"01366",2017,60
"01367",2016,50
"01367",2017,50
"01368",2016,45
"01368",2017,60
"01369",2016,45
"01369",2017,45
"01370",2016,170
"01370",2017,190
"01371",2016,80
"01371",2017,80
"01372",2016,35
"01372",2017,25
"01373",2016,60
"01373",2017,75
"01374",2016,95
"01374",2017,90
"01375",2016,50
"01375",2017,55
"01376",2016,325
"01376",2017,330
"01378",2016,115
"01378",2017,130
"01379",2016,50
"01379",2017,55
"01380",2016,35
"01380",2017,35
"01381",2016,45
"01381",2017,40
"01382",2016,10
"01382",2017,10
"01383",2016,90
"01383",2017,90
"01384",2016,190
"01384",2017,200
"01385",2016,40
"01385",2017,50
"01386",2016,75
"01386",2017,75
"01387",2016,10
"01387",2017,10
"01388",2016,75
"01388",2017,70
"01389",2016,100
"01389",2017,105
"01390",2016,65
"01390",2017,70
"01391",2016,10
"01391",2017,10
"01392",2016,35
"01392",2017,40
"01393",2016,25
"01393",2017,25
"01396",2016,75
"01396",2017,90
"01397",2016,40
"01397",2017,45
"01398",2016,70
"01398",2017,75
"01399",2016,90
"01399",2017,95
"01400",2016,10
"01400",2017,10
"01401",2016,80
"01401",2017,75
"01402",2016,60
"01402",2017,60
"01403",2016,105
"01403",2017,100
"01404",2016,15
"01404",2017,15
"01405",2016,100
"01405",2017,100
"01406",2016,15
"01406",2017,15
"01407",2016,95
"01407",2017,90
"01408",2016,45
"01408",2017,70
"01410",2016,20
"01410",2017,20
"01411",2016,10
"01411",2017,15
"01412",2016,40
"01412",2017,30
"01415",2016,30
"01415",2017,40
"01416",2016,120
"01416",2017,110
"01418",2016,55
"01418",2017,55
"01419",2016,255
"01419",2017,290
"01420",2016,150
"01420",2017,140
"01421",2016,50
"01421",2017,55
"01422",2016,75
"01422",2017,85
"01423",2016,55
"01423",2017,45
"01424",2016,80
"01424",2017,75
"01425",2016,10
"01425",2017,10
"01426",2016,170
"01426",2017,155
"01427",2016,490
"01427",2017,480
"01428",2016,5
"01428",2017,5
"01429",2016,35
"01429",2017,35
"01430",2016,55
"01430",2017,50
"01431",2016,65
"01431",2017,80
"01432",2016,10
"01432",2017,15
"01433",2016,15
"01433",2017,20
"01434",2016,15
"01434",2017,25
"01435",2016,120
"01435",2017,120
"01436",2016,30
"01436",2017,30
"01437",2016,20
"01437",2017,25
"01439",2016,5
"01439",2017,5
"01441",2016,45
"01441",2017,40
"01443",2016,295
"01443",2017,275
"01444",2016,95
"01444",2017,90
"01445",2016,30
"01445",2017,35
"01446",2016,65
"01446",2017,65
"01447",2016,85
"01447",2017,85
"01448",2016,15
"01448",2017,15
"01449",2016,50
"01449",2017,40
"01450",2016,195
"01450",2017,195
"01451",2016,335
"01451",2017,360
"01452",2016,115
"01452",2017,125
"01453",2016,35
"01453",2017,35
"01454",2016,90
"01454",2017,75
"01456",2016,0
"01456",2017,5
"01457",2016,215
"01457",2017,215
"02001",2016,45
"02001",2017,50
"02002",2016,55
"02002",2017,45
"02003",2016,85
"02003",2017,90
"02004",2016,15
"02004",2017,20
"02005",2016,25
"02005",2017,20
"02006",2016,30
"02006",2017,30
"02007",2016,10
"02007",2017,5
"02008",2016,15
"02008",2017,25
"02009",2016,50
"02009",2017,45
"02010",2016,15
"02010",2017,15
"02011",2016,85
"02011",2017,90
"02012",2016,5
"02012",2017,5
"02013",2016,30
"02013",2017,35
"02014",2016,40
"02014",2017,45
"02015",2016,10
"02015",2017,5
"02016",2016,15
"02016",2017,15
"02017",2016,25
"02017",2017,25
"02018",2016,250
"02018",2017,245
"02019",2016,35
"02019",2017,35
"02020",2016,40
"02020",2017,40
"02021",2016,10
"02021",2017,5
"02022",2016,40
"02022",2017,40
"02023",2016,5
"02023",2017,5
"02024",2016,5
"02024",2017,5
"02025",2016,30
"02025",2017,30
"02027",2016,25
"02027",2017,25
"02028",2016,200
"02028",2017,195
"02029",2016,30
"02029",2017,35
"02030",2016,20
"02030",2017,20
"02031",2016,55
"02031",2017,70
"02032",2016,45
"02032",2017,40
"02033",2016,10
"02033",2017,10
"02034",2016,5
"02034",2017,5
"02035",2016,25
"02035",2017,30
"02036",2016,15
"02036",2017,10
"02037",2016,125
"02037",2017,120
"02038",2016,5
"02038",2017,5
"02039",2016,15
"02039",2017,20
"02040",2016,10
"02040",2017,10
"02041",2016,70
"02041",2017,70
"02042",2016,25
"02042",2017,30
"02043",2016,0
"02043",2017,0
"02044",2016,0
"02044",2017,0
"02046",2016,50
"02046",2017,50
"02047",2016,15
"02047",2017,20
"02048",2016,15
"02048",2017,10
"02049",2016,45
"02049",2017,50
"02050",2016,20
"02050",2017,25
"02051",2016,35
"02051",2017,40
"02052",2016,10
"02052",2017,10
"02053",2016,35
"02053",2017,35
"02054",2016,35
"02054",2017,30
"02055",2016,10
"02055",2017,10
"02056",2016,15
"02056",2017,15
"02057",2016,170
"02057",2017,175
"02058",2016,85
"02058",2017,80
"02059",2016,360
"02059",2017,380
"02060",2016,30
"02060",2017,25
"02061",2016,25
"02061",2017,25
"02062",2016,10
"02062",2017,5
"02063",2016,40
"02063",2017,40
"02064",2016,390
"02064",2017,425
"02065",2016,65
"02065",2017,65
"02066",2016,5
"02066",2017,10
"02067",2016,15
"02067",2017,10
"02068",2016,10
"02068",2017,10
"02069",2016,10
"02069",2017,10
"02070",2016,40
"02070",2017,45
"02071",2016,40
"02071",2017,50
"02072",2016,25
"02072",2017,20
"02073",2016,50
"02073",2017,55
"02074",2016,60
